iter	Passed	Remaining
306	564	1274
307	565	1271
308	566	1267
309	568	1264
310	571	1265
311	572	1261
312	573	1258
313	574	1255
314	576	1252
315	577	1249
316	578	1246
317	579	1243
318	580	1240
319	582	1237
320	583	1233
321	585	1233
322	587	1230
323	588	1227
324	589	1224
325	590	1221
326	591	1217
327	592	1214
328	593	1211
329	594	1208
330	596	1204
331	597	1201
332	598	1198
333	600	1197
334	601	1194
335	603	1191
336	604	1188
337	605	1185
338	606	1182
339	607	1179
340	608	1176
341	609	1173
342	611	1170
343	612	1167
344	613	1164
345	615	1163
346	616	1160
347	618	1158
348	619	1155
349	620	1152
350	621	1149
351	622	1146
352	624	1143
353	625	1140
354	626	1137
355	627	1134
356	628	1131
357	630	1130
358	631	1128
359	632	1125
360	633	1122
361	635	1119
362	636	1116
363	637	1113
364	638	1111
365	639	1108
366	640	1105
367	642	1102
368	643	1100
369	645	1099
370	646	1096
371	648	1093
372	649	1091
373	650	1088
374	651	1085
375	652	1082
376	653	1080
377	654	1077
378	655	1074
379	657	1072
380	658	1069
381	660	1068
382	661	1065
383	662	1063
384	663	1060
385	665	1057
386	666	1055
387	667	1052
388	668	1049
389	669	1047
390	670	1044
391	671	1041
392	673	1039
393	675	1038
394	676	1036
395	677	1033
396	678	1031
397	679	1028
398	681	1025
399	682	1023
400	683	1020
401	684	1018
402	685	1015
403	687	1013
404	688	1012
405	690	1009
406	691	1007
407	692	1004
408	693	1001
409	694	999
410	695	997
411	696	994
412	698	992
413	699	989
414	700	987
415	701	984
416	704	984
417	705	982
418	706	979
419	707	977
420	708	974
421	710	972
422	711	970
423	712	967
424	713	965
425	714	962
426	715	960
427	716	958
428	719	957
429	720	954
430	721	952
431	722	950
432	724	948
433	725	945
434	726	943
435	727	941
436	728	939
437	730	936
438	731	934
439	734	934
440	735	931
441	736	929
442	737	927
443	738	924
444	739	922
445	740	920
446	742	918
447	743	915
448	744	913
449	745	911
450	747	909
451	748	907
452	750	905
453	751	903
454	752	901
455	754	899
456	755	897
457	756	895
458	757	893
459	758	890
460	760	888
461	761	886
462	763	885
463	764	882
464	765	880
465	766	878
466	767	876
467	768	874
468	770	872
469	771	870
470	772	867
471	773	865
472	774	863
473	777	862
474	778	860
475	779	858
476	780	856
477	781	853
478	783	851
479	784	849
480	785	847
481	786	845
482	787	843
483	789	841
484	790	839
485	792	838
486	793	836
487	794	834
488	796	831
489	797	829
490	798	827
491	799	825
492	800	823
493	801	821
494	803	819
495	804	817
496	805	815
497	807	814
498	809	812
499	810	810
500	811	808
501	812	806
502	813	804
503	815	802
504	816	799
505	817	798
506	818	795
507	819	793
508	822	793
509	823	791
510	824	789
511	825	787
512	827	785
513	828	783
514	829	781
515	830	779
516	831	776
517	832	774
518	833	772
519	835	771
520	837	769
521	838	767
522	839	765
523	840	763
524	841	761
525	842	759
526	843	757
527	845	755
528	846	753
529	847	751
530	848	749
531	850	748
532	852	746
533	853	744
534	854	742
535	855	740
536	856	738
537	858	736
538	859	734
539	860	732
540	861	730
541	862	729
542	863	727
543	866	726
544	867	724
545	868	722
546	869	720
547	870	718
548	871	716
549	872	714
550	874	712
551	875	710
552	876	708
553	877	706
554	878	704
555	881	703
556	882	701
557	883	700
558	884	698
559	885	696
560	887	694
561	888	692
562	889	690
563	890	688
564	891	686
565	892	684
566	893	682
567	896	682
568	898	680
569	899	678
570	900	676
571	901	674
572	902	672
573	903	670
574	905	669
575	906	667
576	907	665
577	908	663
578	910	662
579	912	660
580	913	658
581	914	656
582	915	655
583	917	653
584	918	651
585	919	649
586	920	647
587	921	645
588	922	644
589	924	642
590	926	640
591	927	639
592	928	637
593	929	635
594	930	633
595	932	631
596	933	630
597	934	628
598	935	626
599	936	624
600	937	622
601	940	621
602	941	619
603	942	618
604	943	616
605	945	614
606	947	613
607	948	611
608	949	609
609	950	607
610	951	605
611	952	604
612	954	602
613	955	600
614	957	599
615	958	597
616	959	595
617	960	593
618	961	592
619	963	590
620	964	588
621	965	586
622	967	585
623	968	583
624	970	582
625	971	580
626	972	578
627	974	577
628	975	575
629	976	573
630	977	571
631	978	569
632	980	568
633	981	566
634	982	564
635	984	563
636	986	561
637	987	560
638	988	558
639	989	556
640	990	554
641	991	553
642	993	551
643	994	549
644	995	547
645	996	546
646	997	544
647	999	542
648	1000	541
649	1002	539
650	1003	537
651	1004	536
652	1005	534
653	1006	532
654	1007	530
655	1008	529
656	1010	527
657	1011	525
658	1012	523
659	1015	522
660	1016	521
661	1017	519
662	1018	517
663	1020	516
664	1021	514
665	1022	512
666	1023	511
667	1024	509
668	1025	507
669	1027	505
670	1031	505
671	1032	503
672	1033	502
673	1035	500
674	1036	499
675	1038	497
676	1041	496
677	1044	496
678	1046	494
679	1048	493
680	1050	491
681	1052	490
682	1054	489
683	1055	487
684	1056	485
685	1059	485
686	1061	483
687	1063	482
688	1064	480
689	1066	479
690	1067	477
691	1069	475
692	1070	474
693	1074	473
694	1078	473
695	1080	471
696	1083	471
697	1084	469
698	1086	467
699	1087	466
700	1089	464
701	1090	462
702	1091	461
703	1092	459
704	1094	457
705	1095	456
706	1096	454
707	1097	452
708	1099	451
709	1100	449
710	1102	448
711	1104	446
712	1105	445
713	1107	443
714	1108	441
715	1109	440
716	1111	438
717	1113	437
718	1114	435
719	1115	433
720	1119	433
721	1121	431
722	1122	430
723	1124	428
724	1126	427
725	1127	425
726	1129	424
727	1131	422
728	1133	421
729	1135	419
730	1136	418
731	1138	417
732	1140	415
733	1141	413
734	1142	411
735	1143	410
736	1145	408
737	1148	407
738	1149	406
739	1151	404
740	1153	403
741	1154	401
742	1156	400
743	1157	398
744	1159	396
745	1162	395
746	1163	394
747	1165	392
748	1166	390
749	1167	389
750	1168	387
751	1170	385
752	1171	384
753	1172	382
754	1173	380
755	1174	379
756	1176	377
757	1178	376
758	1179	374
759	1181	373
760	1182	371
761	1183	369
762	1184	368
763	1186	366
764	1187	364
765	1188	363
766	1190	361
767	1193	360
768	1195	359
769	1197	357
770	1198	356
771	1200	354
772	1201	352
773	1202	351
774	1203	349
775	1205	347
776	1207	346
777	1209	345
778	1210	343
779	1211	341
780	1212	340
781	1214	338
782	1215	336
783	1216	335
784	1217	333
785	1218	331
786	1220	330
787	1222	329
788	1224	327
789	1225	325
790	1226	324
791	1227	322
792	1228	320
793	1229	319
794	1231	317
795	1232	315
796	1233	314
797	1234	312
798	1238	311
799	1240	310
800	1241	308
801	1242	306
802	1243	305
803	1245	303
804	1246	301
805	1247	300
806	1248	298
807	1249	297
808	1252	295
809	1253	294
810	1254	292
811	1256	290
812	1257	289
813	1258	287
814	1260	286
815	1261	284
816	1262	282
817	1264	281
818	1267	280
819	1268	278
820	1269	276
821	1270	275
822	1272	273
823	1273	271
824	1274	270
825	1275	268
826	1276	267
827	1277	265
828	1278	263
829	1280	262
830	1282	260
831	1284	259
832	1285	257
833	1286	256
834	1287	254
835	1288	252
836	1289	251
837	1290	249
838	1292	248
839	1294	246
840	1295	244
841	1297	243
842	1298	241
843	1299	240
844	1300	238
845	1302	237
846	1303	235
847	1304	233
848	1305	232
849	1306	230
850	1307	228
851	1308	227
852	1311	226
853	1312	224
854	1314	222
855	1315	221
856	1317	219
857	1318	218
858	1320	216
859	1321	215
860	1322	213
861	1323	211
862	1325	210
863	1327	208
864	1328	207
865	1329	205
866	1330	204
867	1332	202
868	1333	201
869	1334	199
870	1336	197
871	1337	196
872	1338	194
873	1340	193
874	1341	191
875	1342	190
876	1344	188
877	1345	186
878	1346	185
879	1347	183
880	1348	182
881	1349	180
882	1351	179
883	1352	177
884	1353	175
885	1355	174
886	1356	172
887	1358	171
888	1359	169
889	1360	168
890	1361	166
891	1362	165
892	1364	163
893	1365	161
894	1366	160
895	1367	158
896	1371	157
897	1372	155
898	1373	154
899	1374	152
900	1375	151
901	1377	149
902	1378	148
903	1379	146
904	1380	144
905	1381	143
906	1382	141
907	1384	140
908	1386	138
909	1387	137
910	1388	135
911	1389	134
912	1391	132
913	1392	130
914	1393	129
915	1394	127
916	1395	126
917	1396	124
918	1398	123
919	1400	121
920	1401	120
921	1402	118
922	1404	117
923	1405	115
924	1406	114
925	1407	112
926	1408	110
927	1409	109
928	1411	107
929	1412	106
930	1414	104
931	1416	103
932	1417	101
933	1418	100
934	1420	98
935	1421	97
936	1422	95
937	1423	94
938	1425	92
939	1426	91
940	1428	89
941	1430	88
942	1431	86
943	1432	85
944	1434	83
945	1435	81
946	1436	80
947	1438	78
948	1439	77
949	1440	75
950	1441	74
951	1443	72
952	1445	71
953	1446	69
954	1448	68
955	1449	66
956	1450	65
957	1452	63
958	1453	62
959	1454	60
960	1455	59
961	1457	57
962	1459	56
963	1460	54
964	1461	53
965	1462	51
966	1464	49
967	1465	48
968	1467	46
969	1468	45
970	1469	43
971	1471	42
972	1473	40
973	1475	39
974	1476	37
975	1477	36
976	1478	34
977	1479	33
978	1481	31
979	1482	30
980	1483	28
981	1484	27
982	1487	25
983	1489	24
984	1490	22
985	1492	21
986	1493	19
987	1494	18
988	1495	16
989	1497	15
990	1498	13
991	1499	12
992	1501	10
993	1503	9
994	1504	7
995	1505	6
996	1507	4
997	1508	3
998	1509	1
999	1511	0
